FECHA      |DEBE           |HABER          |SALDO          |CONCEPTO
09/07/2011 |      100250.00|               |      100250.00|Saldo inicial
13/07/2011 |          50.00|               |      100300.00|Servicios
14/07/2011 |         142.50|               |      100442.50|Restaurant
16/07/2011 |               |       25000.00|       75442.50|Nomina
16/07/2011 |         750.00|               |       76192.50|Check-Out
17/07/2011 |        1050.00|               |       77242.50|Check-Out
19/07/2011 |         300.00|               |       77542.50|Check-Out
22/07/2011 |         900.00|               |       78442.50|Check-Out
24/07/2011 |         900.00|               |       79342.50|Check-Out
29/07/2011 |         100.00|               |       79442.50|Servicios
01/08/2011 |               |       25000.00|       54442.50|Nomina
02/08/2011 |        9450.00|               |       63892.50|Check-Out
